单位cm：
编号: x  y  z
140: 350 250 130
141: 350 300 130
142: 350 350 130
143: 350 400 130
144: 350 450 130
145: 400 450 130
146: 400 400 130
147: 400 350 130
148: 400 300 130
149: 400 250 130
150: 400 200 130
151: 400 150 130
152: 400 100 130
153: 400 50 130
154: 450 50 130
155: 450 100 130
156: 450 150 130
157: 450 200 130
158: 450 250 130
159: 450 300 130
160: 450 350 130
161: 450 400 130
162: 450 450 130
163: 50 50   170
164: 50 100 170
165: 50 150 170
166: 50 200 170
167: 50 250 170
168: 50 300 170
169: 50 350 170
170: 50 400 170
171: 50 450 170
172: 100 450 170
173: 100 400 170
174: 100 350 170
175: 100 300 170
176: 100 250 170
177: 100 200 170
178: 100 150 170
179: 100 100 170
180: 100 50 170
181: 150 50 170
182: 150 100 170
183: 150 150 170
184: 150 200 170
185: 150 250 170
186: 150 300 170
187: 150 350 170
188: 150 400 170
189: 150 450 170
190: 200 450 170
191: 200 400 170
192: 200 350 170
193: 200 300 170
194: 200 250 170
195: 200 200 170
196: 200 150 170
197: 200 100 170
198: 200 50 170
199: 250 50 170
200: 250 100 170
201: 250 150 170
202: 250 200 170
203: 250 250 170
204: 250 300 170
205: 250 350 170
206: 250 400 170
207: 250 450 170
208: 300 450 170
209: 300 400 170
210: 300 350 170
211: 300 300 170
212: 300 250 170
213: 300 200 170
214: 300 150 170
215: 300 100 170
216: 300 50 170
217: 350 50 170
218: 350 100 170
219: 350 150 170
220: 350 200 170
221: 350 250 170
222: 350 300 170
223: 350 350 170
224: 350 400 170
225: 350 450 170
226: 400 450 170
227: 400 400 170
228: 400 350 170
229: 400 300 170
230: 400 250 170
231: 400 200 170
232: 400 150 170
233: 400 100 170
234: 400 50 170
235: 450 50 170
236: 450 100 170
237: 450 150 170
238: 450 200 170
239: 450 250 170
240: 450 300 170
241: 450 350 170
242: 450 400 170
243: 450 450 170
244: 50 50   200
245: 50 100 200
246: 50 150 200
247: 50 200 200
248: 50 250 200
294: 50 300 200
250: 50 350 200
251: 50 400 200
252: 50 450 200
253: 100 450 200
254: 100 400 200
255: 100 350 200
256: 100 300 200
257: 100 250 200
258: 100 200 200
259: 100 150 200
260: 100 100 200
261: 100 50 200
262: 150 50 200
263: 150 100 200
264: 150 150 200
265: 150 200 200
266: 150 250 200
267: 150 300 200
268: 150 350 200
269: 150 400 200
270: 150 450 200
271: 200 450 200
272: 200 400 200
273: 200 350 200
274: 200 300 200
275: 200 250 200
276: 200 200 200
277: 200 150 200
278: 200 100 200
279: 200 50 200
280: 250 50 200
281: 250 100 200
282: 250 150 200
283: 250 200 200
284: 250 250 200
285: 250 300 200
286: 250 350 200
287: 250 400 200
288: 250 450 200
289: 300 450 200
290: 300 400 200
291: 300 350 200
292: 300 300 200
293: 300 250 200
294: 300 200 200
295: 300 150 200
296: 300 100 200
297: 300 50 200
298: 350 50 200
299: 350 100 200
300: 350 150 200
301: 350 200 200
302: 350 250 200
303: 350 300 200
304: 350 350 200
305: 350 400 200
306: 350 450 200
307: 400 450 200
308: 400 400 200
309: 400 350 200
310: 400 300 200
311: 400 250 200
312: 400 200 200
313: 400 150 200
314: 400 100 200
315: 400 50 200
316: 450 50 200
317: 450 100 200
318: 450 150 200
319: 450 200 200
320: 450 250 200
321: 450 300 200
322: 450 350 200
323: 450 400 200
324: 450 450 200
